id,admissions,entry_gender,perc_free_meals,perc_girls,perc_sec_lang,avg_score
373,comprehensive,girls,23.5,99.1,59.9,52
374,comprehensive,mixed,21.9,45.1,12.5,49.8
375,comprehensive,mixed,27,48,29.8,44.6
376,comprehensive,mixed,25,44.7,35.2,43.2
377,comprehensive,mixed,11,48.3,8.5,53
378,comprehensive,mixed,24,50.1,15.8,47.9
379,comprehensive,boys,15.5,1.5,37.7,52
380,comprehensive,mixed,16.5,41.6,62.4,47.4
381,comprehensive,mixed,22.1,53,31.7,50.7
382,comprehensive,mixed,15.3,40.7,35.4,50.5
383,comprehensive,girls,17.8,100,40.4,51.2
384,comprehensive,mixed,11.1,47.9,9.5,54.1
385,comprehensive,mixed,24.8,32.4,66.9,42.2
386,comprehensive,mixed,22.1,47.8,58.5,46.6
387,comprehensive,mixed,19.9,44.4,63.5,51.4
388,comprehensive,mixed,7.3,50.1,39.1,58
389,comprehensive,mixed,18.4,46.6,68.8,48.8
390,comprehensive,mixed,17.8,47.1,49.3,52.7
391,comprehensive,girls,19.6,100,69.4,54.3
392,comprehensive,mixed,12.2,45.8,27.4,56.6
393,comprehensive,mixed,22,44.9,78.5,50
394,comprehensive,mixed,16.8,49.7,45.9,56.6
395,comprehensive,mixed,21.3,48.3,61.3,46.7
396,comprehensive,mixed,7.3,47.9,12.2,60.2
397,comprehensive,mixed,15.8,49.1,84.9,47.5
398,comprehensive,mixed,29.8,46.9,72,42.2
399,comprehensive,mixed,19,42.5,18.7,48.7
400,comprehensive,mixed,20.8,48.1,67.9,48.6
401,comprehensive,mixed,15.9,50.7,32.2,46.4
402,comprehensive,mixed,22.4,46.5,62.2,50.4
403,comprehensive,girls,16.8,100,42.5,53.7
404,comprehensive,boys,11.8,0,30.4,49.6
405,comprehensive,mixed,7.8,49.7,13.4,54.4
406,comprehensive,mixed,19.1,50.4,55.4,51.9
407,selective,mixed,2.6,42,27.9,74
408,comprehensive,mixed,28.3,45.5,47.2,47.2
409,comprehensive,mixed,23.3,48.2,77.5,40.4
410,comprehensive,mixed,25.5,52.8,48.9,47.4
411,comprehensive,mixed,36.5,49,67.4,44.6
412,comprehensive,girls,17.5,100,27.1,57.5
413,comprehensive,boys,12,0.4,33.4,55.8
414,comprehensive,mixed,9.1,45.8,33.8,55.5
415,comprehensive,mixed,17.2,47.2,53.7,51.8
416,comprehensive,mixed,11.4,47.4,30.8,57.3
417,comprehensive,mixed,5.6,51.3,12.1,62.5
